,Maximum Pressure(predicted),Maximum Pressure,Crank Angle at Maximum Pressure(predicted),Crank Angle at Maximum Pressure,Maximum Rate of Pressure Rise(predicted),Maximum Rate of Pressure Rise,BMEP(predicted),BMEP,IMEP(predicted),IMEP,BSFC(predicted),BSFC,BSNOx(predicted),BSNOx,BSCO(predicted),BSCO
1930,34.9178,36.9,34.68086,35.16,0.6137611,0.92,9.167781,8.87,10.83242,11.12,392.82327,395.0,2.0532446,2.18,366.43448,364.6
1694,51.072086,50.2,25.08378,26.93,1.5529861,1.7,10.567906,10.05,11.303104,12.44,338.0171,341.1,3.3096905,3.09,308.35626,312.5
1104,49.898468,48.6,23.828728,24.18,1.6069177,1.84,9.79184,10.09,11.721562,11.48,304.83813,303.9,4.6937933,4.54,237.98303,238.4
912,51.005608,50.6,23.129463,22.66,1.771209,2.08,9.99789,10.16,12.046,11.44,296.2445,295.8,4.976797,5.04,223.05058,223.0
965,43.20271,42.4,27.776447,29.16,1.2858353,1.44,10.17332,10.28,11.721543,11.33,306.52304,307.4,4.2413764,4.57,227.99103,228.7
1870,62.778557,62.6,20.137203,20.79,2.5408092,2.58,11.849605,10.73,12.744679,13.18,330.37744,332.5,3.910633,3.88,311.03772,311.9
1839,48.502453,49.7,23.580801,22.0,1.8031524,1.92,7.4322424,8.48,9.914627,10.63,355.64642,353.9,3.8223732,3.8,335.90115,333.3
573,41.871807,42.5,28.270231,26.85,2.0900621,1.53,9.797529,8.92,10.613628,10.49,304.93225,304.0,4.3702474,3.51,219.71095,219.9
1938,37.324635,37.0,34.514427,35.14,0.7189693,0.91,9.898188,8.83,11.291483,11.06,392.6259,394.9,2.0780764,2.2,365.97305,367.4
2027,66.59809,68.0,16.604969,17.0,3.4090924,3.21,10.398779,10.18,13.854573,12.64,336.8812,339.5,4.883257,4.35,322.4422,327.9
1960,69.58163,67.7,14.480523,13.0,3.6450326,3.51,9.073121,9.27,13.278546,11.52,342.87646,343.8,5.6395545,5.05,329.96866,331.4
765,42.554993,38.4,28.369516,29.52,1.6687994,1.19,9.952314,9.3,11.160031,10.34,309.12936,307.6,4.3421655,3.49,226.48244,226.0
968,43.345505,42.6,27.812307,29.12,1.2377594,1.45,10.256508,10.32,11.842749,11.37,306.88644,307.3,4.22801,4.59,228.63437,228.6
1909,50.161053,50.6,26.100431,26.87,1.6728114,1.68,11.014217,10.18,11.870361,12.55,347.67532,350.8,2.9269183,3.07,325.3651,326.4
1894,48.38387,49.6,25.890814,26.94,1.6691017,1.64,10.003081,10.0,11.619508,12.36,351.2848,352.6,3.0681274,3.02,329.85815,328.2
734,50.8707,48.7,23.522614,22.98,2.3694994,1.95,10.329486,9.84,11.834211,10.95,293.41513,293.1,4.9936733,4.19,215.62352,217.2
739,51.052193,49.1,23.526608,22.82,2.484427,1.98,10.428406,9.96,11.843823,11.04,292.76828,290.9,5.005168,4.44,214.2597,210.3
2047,52.49904,54.0,20.888187,23.0,2.6298,2.1,8.030271,9.65,12.394547,11.9,350.13034,351.6,4.2020288,3.44,334.6904,336.3
665,57.389523,53.2,19.592073,18.22,2.8031704,2.4,9.4425,9.34,11.50489,10.4,291.29913,292.2,5.920881,4.65,216.9279,217.9
1609,72.06705,70.1,15.032406,15.65,3.1439347,3.41,11.051169,10.44,12.682929,12.83,318.76654,319.9,5.3293786,4.57,292.98795,295.1
1523,32.497105,31.4,35.22223,34.5,0.029209806,0.79,8.002117,7.74,8.746889,9.49,378.51688,377.7,2.647276,2.47,330.39484,324.6
1015,64.26803,64.6,16.73824,13.6,2.6838608,3.36,9.634318,9.7,12.135778,11.37,297.1026,298.5,6.080175,5.64,237.4016,239.0
