,Learning_Rate,Dropout_Rate,Hidden_units,Batch_size,Validation_MAE,Validation_MSE
200,0.1,0.2,128,8,93618.03125,253.57772827148438
201,0.001,0.2,64,8,886141.4375,671.2133178710938
202,0.01,0.2,64,8,10355.6357421875,66.47773742675781
203,0.1,0.2,64,8,7885.43994140625,68.63702392578125
204,0.001,0.2,32,8,663179.5,577.4395751953125
205,0.01,0.2,32,8,964952.3125,615.40185546875
206,0.1,0.2,32,8,26633128.0,4337.06298828125
207,0.001,0.2,128,8,1724730240.0,24945.10546875
208,0.01,0.2,128,8,2386315.75,1026.912109375
209,0.1,0.2,128,8,163718840320.0,359562.25
210,0.001,0.2,64,8,616476480.0,19579.94140625
211,0.01,0.2,64,8,493192.34375,430.899658203125
212,0.1,0.2,64,8,5927354368.0,67915.3203125
213,0.001,0.2,32,8,2383027.75,1027.2794189453125
214,0.01,0.2,32,8,19882640.0,3443.949462890625
215,0.1,0.2,32,8,689627987968.0,600367.5625
216,0.001,0.3,128,8,23918.732421875,92.41242980957031
217,0.01,0.3,128,8,3232.130859375,34.05023193359375
218,0.1,0.3,128,8,929.2144165039062,21.47503662109375
219,0.001,0.3,64,8,4041.85009765625,42.68947982788086
220,0.01,0.3,64,8,7545.501953125,63.01909255981445
221,0.1,0.3,64,8,492.6009826660156,12.876678466796875
222,0.001,0.3,32,8,34137.54296875,97.05125427246094
223,0.01,0.3,32,8,59920.76171875,123.00834655761719
224,0.1,0.3,32,8,3862.1318359375,35.97379684448242
225,0.001,0.3,128,8,339865.375,422.88323974609375
226,0.01,0.3,128,8,4587.78857421875,52.84981918334961
227,0.1,0.3,128,8,19884898304.0,109792.078125
228,0.001,0.3,64,8,1871226.875,928.1459350585938
229,0.01,0.3,64,8,308765.375,410.9778747558594
230,0.1,0.3,64,8,89878.109375,241.4607696533203
231,0.001,0.3,32,8,207016.25,211.25579833984375
232,0.01,0.3,32,8,1667337.375,876.1259765625
233,0.1,0.3,32,8,28420646.0,3687.158203125
234,0.001,0.3,128,8,2471520768.0,39686.9140625
235,0.01,0.3,128,8,1172450.75,775.8590087890625
236,0.1,0.3,128,8,693875320553472.0,18960216.0
237,0.001,0.3,64,8,1277840128.0,28214.578125
238,0.01,0.3,64,8,2608845.5,1101.5118408203125
239,0.1,0.3,64,8,4934718976.0,58921.01953125
240,0.001,0.3,32,8,53109028.0,5063.93994140625
241,0.01,0.3,32,8,6822422.0,2016.0880126953125
242,0.1,0.3,32,8,413984.625,441.3730163574219
